record_id,data_source,respondent_type,location,property_type,bedrooms,bathrooms,furnished_status,parking,security,road_access,amenities_count,monthly_rent_rwf,review_note
SURV-01216,Primary survey,Tenant,Gikondo,Apartment,1,1,Semi-Furnished,Yes,Yes,Good,6,200000,
SURV-02374,Primary survey,Tenant,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Poor,7,200000,
SURV-03278,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,Yes,Yes,Average,7,200000,
SURV-03522,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,Yes,Yes,Average,6,200000,
SURV-02770,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,Yes,Yes,Average,5,260000,
SURV-03617,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,Yes,Unknown,Average,7,280000,
SURV-03837,Primary survey,Other,Gikondo,Apartment,1,1,Semi-Furnished,Yes,Yes,Good,3,280000,
SURV-01380,Primary survey,Real Estate Agent,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Good,5,300000,
SURV-01775,Primary survey,Tenant,Gikondo,Apartment,2,1,Unfurnished,No,Yes,Good,5,300000,
SURV-02052,Primary survey,Tenant,Gikondo,Apartment,2,1,Unfurnished,Yes,Yes,Poor,7,300000,
SURV-02434,Primary survey,Tenant,Gikondo,Apartment,2,2,Furnished,No,Yes,Average,4,300000,
SURV-03020,Primary survey,Landlord,Gikondo,Apartment,2,2,Furnished,Yes,Yes,Poor,6,300000,
SURV-04282,Primary survey,Landlord,Gikondo,Apartment,1,1,Semi-Furnished,Yes,Yes,Poor,6,300000,
SURV-01240,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,No,Yes,Good,6,320000,
SURV-01489,Primary survey,Tenant,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Good,5,320000,
SURV-03370,Primary survey,Real Estate Agent,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Average,6,320000,
SURV-04826,Primary survey,Real Estate Agent,Gikondo,Apartment,2,2,Furnished,Yes,No,Good,6,320000,
SURV-00366,Primary survey,Landlord,Gikondo,Apartment,2,2,Unfurnished,Yes,Yes,Average,6,340000,
SURV-01234,Primary survey,Real Estate Agent,Gikondo,Apartment,1,1,Semi-Furnished,Yes,Yes,Good,5,340000,
SURV-02293,Primary survey,Landlord,Gikondo,Apartment,2,1,Furnished,Yes,Yes,Average,3,340000,
SURV-03203,Primary survey,Tenant,Gikondo,Apartment,2,2,Furnished,Yes,Yes,Poor,6,340000,
SURV-03706,Primary survey,Tenant,Gikondo,Apartment,1,1,Semi-Furnished,Yes,Yes,Poor,3,340000,
SURV-04580,Primary survey,Landlord,Gikondo,Apartment,2,1,Unfurnished,Yes,Yes,Good,3,340000,
SURV-05107,Primary survey,Other,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Good,6,340000,
SURV-00405,Primary survey,Tenant,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Average,7,360000,
SURV-04117,Primary survey,Real Estate Agent,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Good,3,360000,
SURV-05250,Primary survey,Other,Gikondo,Apartment,1,1,Semi-Furnished,Yes,Yes,Good,7,360000,
SURV-00873,Primary survey,Landlord,Gikondo,Apartment,1,1,Unfurnished,Yes,Yes,Good,6,380000,
SURV-01041,Primary survey,Other,Gikondo,Apartment,2,2,Semi-Furnished,Yes,No,Good,7,380000,
SURV-01194,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,No,Unknown,Average,5,380000,
SURV-01306,Primary survey,Other,Gikondo,Apartment,2,1,Unfurnished,Yes,Yes,Good,6,380000,
SURV-01375,Primary survey,Real Estate Agent,Gikondo,Apartment,2,1,Semi-Furnished,Yes,Yes,Unknown,5,380000,
SURV-01611,Primary survey,Real Estate Agent,Gikondo,Apartment,1,1,Semi-Furnished,Yes,Yes,Good,4,380000,
SURV-02561,Primary survey,Tenant,Gikondo,Apartment,1,1,Unfurnished,Yes,Yes,Unknown,6,380000,
SURV-02628,Primary survey,Real Estate Agent,Gikondo,Apartment,2,1,Unfurnished,Yes,Yes,Good,7,380000,
SURV-03593,Primary survey,Landlord,Gikondo,Apartment,2,2,Furnished,No,Yes,Poor,7,380000,
SURV-04389,Primary survey,Tenant,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Good,5,380000,
SURV-05185,Primary survey,Landlord,Gikondo,Apartment,2,2,Unknown,Yes,Yes,Good,6,380000,
SURV-03881,Primary survey,Real Estate Agent,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Good,3,400000,
SURV-04209,Primary survey,Other,Gikondo,Apartment,2,2,Unfurnished,Yes,Yes,Good,4,400000,
SURV-04219,Primary survey,Tenant,Gikondo,Apartment,1,1,Furnished,Yes,Yes,Average,7,400000,
SURV-01715,Primary survey,Real Estate Agent,Gikondo,Apartment,2,2,Unfurnished,Yes,Yes,Good,6,420000,
SURV-02732,Primary survey,Tenant,Gikondo,Apartment,2,2,Semi-Furnished,No,No,Good,5,420000,
SURV-02820,Primary survey,Landlord,Gikondo,Apartment,2,2,Furnished,Yes,Yes,Good,5,420000,
SURV-01990,Primary survey,Tenant,Gikondo,Apartment,2,1,Unfurnished,Yes,Yes,Good,7,440000,
SURV-02700,Primary survey,Other,Gikondo,Apartment,2,1,Furnished,No,Yes,Average,6,440000,
SURV-03531,Primary survey,Tenant,Gikondo,Apartment,2,2,Semi-Furnished,Yes,Unknown,Average,5,440000,
SURV-04842,Primary survey,Tenant,Gikondo,Apartment,2,2,Furnished,Yes,Yes,Good,4,440000,
SURV-04850,Primary survey,Tenant,Gikondo,Apartment,2,1,Semi-Furnished,No,Yes,Good,3,440000,
SURV-02756,Primary survey,Tenant,Gikondo,Apartment,2,2,Unfurnished,Yes,Yes,Average,5,460000,
SURV-04694,Primary survey,Landlord,Gikondo,Apartment,2,1,Unfurnished,Yes,Yes,Average,4,460000,
SURV-00652,Primary survey,Tenant,Gikondo,Apartment,2,2,Semi-Furnished,Yes,Unknown,Good,4,480000,
SURV-01638,Primary survey,Landlord,Gikondo,Apartment,2,1,Unfurnished,No,Yes,Average,5,480000,
SURV-02271,Primary survey,Tenant,Gikondo,Apartment,2,2,Furnished,Yes,No,Good,4,480000,
SURV-00161,Primary survey,Landlord,Gikondo,Apartment,3,1,Semi-Furnished,No,No,Good,2,500000,
SURV-00572,Primary survey,Real Estate Agent,Gikondo,Apartment,2,2,Semi-Furnished,Yes,Yes,Poor,5,500000,
SURV-01558,Primary survey,Real Estate Agent,Gikondo,Apartment,2,2,Furnished,Yes,Yes,Average,7,500000,
SURV-02740,Primary survey,Tenant,Gikondo,Apartment,2,2,Semi-Furnished,No,Yes,Good,4,500000,
SURV-04003,Primary survey,Tenant,Gikondo,Apartment,2,2,Unfurnished,No,Yes,Good,5,500000,
SURV-04975,Primary survey,Tenant,Gikondo,Apartment,3,1,Unknown,Yes,Unknown,Good,7,500000,
SURV-02075,Primary survey,Tenant,Gikondo,Apartment,3,3,Semi-Furnished,No,Yes,Average,7,520000,
SURV-02808,Primary survey,Tenant,Gikondo,Apartment,3,2,Furnished,Yes,Yes,Average,7,520000,
SURV-03007,Primary survey,Tenant,Gikondo,Apartment,3,3,Unfurnished,Yes,Yes,Unknown,7,520000,
SURV-03501,Primary survey,Tenant,Gikondo,Apartment,3,2,Furnished,Yes,Yes,Good,6,520000,
SURV-04097,Primary survey,Tenant,Gikondo,Apartment,3,3,Unknown,No,Yes,Good,3,520000,
SURV-05248,Primary survey,Tenant,Gikondo,Apartment,3,2,Unfurnished,Yes,Yes,Average,7,520000,
SURV-00487,Primary survey,Tenant,Gikondo,Apartment,3,2,Furnished,Yes,Yes,Good,3,540000,
SURV-01768,Primary survey,Other,Gikondo,Apartment,2,2,Furnished,Yes,Yes,Poor,6,540000,
SURV-02378,Primary survey,Tenant,Gikondo,Apartment,3,3,Semi-Furnished,Yes,Yes,Poor,3,540000,
SURV-02530,Primary survey,Real Estate Agent,Gikondo,Apartment,3,3,Unfurnished,Yes,Yes,Poor,5,540000,
SURV-00375,Primary survey,Tenant,Gikondo,Apartment,2,1,Unfurnished,Yes,Yes,Good,6,560000,
SURV-00898,Primary survey,Landlord,Gikondo,Apartment,3,3,Furnished,Yes,Yes,Average,5,560000,
SURV-01221,Primary survey,Tenant,Gikondo,Apartment,3,2,Unfurnished,Yes,Yes,Good,7,560000,
SURV-02253,Primary survey,Landlord,Gikondo,Apartment,3,2,Semi-Furnished,Yes,Yes,Average,3,560000,
SURV-03494,Primary survey,Real Estate Agent,Gikondo,Apartment,3,3,Semi-Furnished,Yes,Yes,Good,7,560000,
SURV-04074,Primary survey,Landlord,Gikondo,Apartment,3,1,Furnished,Yes,Yes,Good,3,560000,
SURV-04267,Primary survey,Landlord,Gikondo,Apartment,3,2,Unfurnished,Yes,Unknown,Unknown,4,560000,
SURV-01498,Primary survey,Real Estate Agent,Gikondo,Apartment,3,1,Unfurnished,Yes,Yes,Average,5,580000,
SURV-01917,Primary survey,Real Estate Agent,Gikondo,Apartment,2,2,Furnished,Yes,Yes,Good,5,580000,
SURV-03485,Primary survey,Tenant,Gikondo,Apartment,3,3,Semi-Furnished,Yes,Yes,Unknown,7,580000,
SURV-03528,Primary survey,Tenant,Gikondo,Apartment,3,1,Unknown,No,Yes,Unknown,6,580000,
SURV-00859,Primary survey,Tenant,Gikondo,Apartment,3,1,Semi-Furnished,Yes,Yes,Good,7,600000,
SURV-02128,Primary survey,Tenant,Gikondo,Apartment,3,2,Unfurnished,Yes,Yes,Average,7,600000,
SURV-03107,Primary survey,Tenant,Gikondo,Apartment,2,1,Semi-Furnished,No,Yes,Average,3,600000,
SURV-03572,Primary survey,Tenant,Gikondo,Apartment,2,1,Unfurnished,Yes,No,Average,6,600000,
SURV-04742,Primary survey,Real Estate Agent,Gikondo,Apartment,3,1,Furnished,Yes,Yes,Good,4,600000,
SURV-05238,Primary survey,Tenant,Gikondo,Apartment,3,2,Furnished,Yes,Yes,Average,4,600000,
SURV-00969,Primary survey,Landlord,Gikondo,Apartment,3,2,Semi-Furnished,Yes,Unknown,Poor,5,620000,
SURV-02968,Primary survey,Other,Gikondo,Apartment,3,1,Semi-Furnished,Yes,Yes,Good,4,620000,
SURV-02978,Primary survey,Tenant,Gikondo,Apartment,3,3,Semi-Furnished,Yes,Yes,Good,5,620000,
SURV-04292,Primary survey,Tenant,Gikondo,Apartment,3,3,Furnished,Yes,Yes,Average,3,620000,
SURV-01250,Primary survey,Tenant,Gikondo,Apartment,3,1,Unfurnished,Yes,Yes,Poor,7,640000,
SURV-01544,Primary survey,Tenant,Gikondo,Apartment,3,3,Furnished,Yes,No,Average,3,640000,
SURV-02975,Primary survey,Real Estate Agent,Gikondo,Apartment,3,1,Unfurnished,No,Unknown,Average,3,640000,
SURV-04212,Primary survey,Tenant,Gikondo,Apartment,3,2,Semi-Furnished,Yes,Yes,Good,7,640000,
SURV-00669,Primary survey,Tenant,Gikondo,Apartment,3,3,Semi-Furnished,Yes,Yes,Good,5,660000,
SURV-00706,Primary survey,Real Estate Agent,Gikondo,Apartment,3,3,Unfurnished,No,Yes,Good,6,680000,
SURV-01886,Primary survey,Landlord,Gikondo,Apartment,3,3,Furnished,No,Yes,Good,3,680000,
SURV-02488,Primary survey,Real Estate Agent,Gikondo,Apartment,3,2,Furnished,Yes,Yes,Average,7,680000,
SURV-03274,Primary survey,Real Estate Agent,Gikondo,Apartment,3,2,Semi-Furnished,Unknown,Yes,Good,5,680000,
SURV-00619,Primary survey,Tenant,Gikondo,Apartment,3,3,Unfurnished,Yes,Yes,Good,7,700000,
SURV-01741,Primary survey,Tenant,Gikondo,Apartment,3,3,Semi-Furnished,Yes,Yes,Good,3,700000,
SURV-00451,Primary survey,Other,Gikondo,Apartment,3,1,Semi-Furnished,Yes,Yes,Good,4,720000,
SURV-01929,Primary survey,Tenant,Gikondo,Apartment,3,1,Furnished,No,Yes,Good,7,720000,
SURV-04843,Primary survey,Tenant,Gikondo,Apartment,3,3,Semi-Furnished,Yes,No,Good,4,720000,
SURV-01948,Primary survey,Tenant,Gikondo,Apartment,3,1,Unknown,Yes,Unknown,Good,5,740000,
SURV-02007,Primary survey,Tenant,Gikondo,Apartment,3,3,Unfurnished,Yes,Yes,Average,6,740000,
SURV-04463,Primary survey,Tenant,Gikondo,Apartment,3,3,Unfurnished,Yes,Yes,Average,7,740000,
SURV-01908,Primary survey,Tenant,Gikondo,Apartment,3,1,Unknown,Unknown,Yes,Average,4,780000,
SURV-02608,Primary survey,Tenant,Gikondo,Apartment,3,2,Unfurnished,No,Yes,Good,4,780000,
SURV-02681,Primary survey,Landlord,Gikondo,Apartment,3,1,Furnished,Yes,Yes,Average,4,780000,
SURV-03723,Primary survey,Other,Gikondo,Apartment,3,2,Unfurnished,No,Yes,Good,3,780000,
SURV-01335,Primary survey,Tenant,Gikondo,Apartment,3,2,Semi-Furnished,Yes,Yes,Average,6,800000,
SURV-04513,Primary survey,Tenant,Gikondo,Apartment,3,1,Furnished,Yes,Yes,Good,5,800000,
SURV-00300,Primary survey,Landlord,Gikondo,Apartment,3,3,Furnished,Yes,Yes,Good,6,1000000,
SURV-00363,Primary survey,Tenant,Gikondo,House,2,2,Furnished,Yes,No,Average,7,300000,
SURV-01555,Primary survey,Real Estate Agent,Gikondo,House,2,2,Unfurnished,Yes,Yes,Good,4,300000,
SURV-01441,Primary survey,Tenant,Gikondo,House,2,2,Semi-Furnished,Yes,Yes,Good,6,340000,
SURV-04920,Primary survey,Other,Gikondo,House,2,2,Furnished,Yes,Yes,Unknown,4,340000,
SURV-00515,Primary survey,Landlord,Gikondo,House,2,1,Unfurnished,Yes,Yes,Poor,4,360000,
SURV-00099,Primary survey,Tenant,Gikondo,House,4,2,Unfurnished,Yes,Yes,Good,4,400000,
SURV-00184,Primary survey,Landlord,Gikondo,House,2,1,Unfurnished,No,No,Good,1,400000,
SURV-03570,Primary survey,Tenant,Gikondo,House,2,2,Semi-Furnished,No,Yes,Good,7,400000,
SURV-00106,Primary survey,Other,Gikondo,House,3,1,Furnished,Yes,Unknown,Average,1,420000,
SURV-04968,Primary survey,Tenant,Gikondo,House,2,1,Furnished,Yes,Yes,Good,4,440000,
SURV-02191,Primary survey,Tenant,Gikondo,House,2,1,Unfurnished,No,Yes,Good,7,460000,
SURV-03009,Primary survey,Real Estate Agent,Gikondo,House,2,2,Furnished,Unknown,Yes,Good,3,480000,
SURV-04251,Primary survey,Tenant,Gikondo,House,2,2,Unfurnished,No,Unknown,Average,4,480000,
SURV-04440,Primary survey,Tenant,Gikondo,House,2,1,Semi-Furnished,Yes,Yes,Poor,3,480000,
SURV-01312,Primary survey,Real Estate Agent,Gikondo,House,2,2,Semi-Furnished,Yes,No,Poor,5,500000,
SURV-02816,Primary survey,Landlord,Gikondo,House,2,2,Semi-Furnished,Yes,Yes,Average,7,500000,
SURV-04025,Primary survey,Real Estate Agent,Gikondo,House,2,2,Unfurnished,No,Yes,Average,5,500000,
SURV-03762,Primary survey,Tenant,Gikondo,House,2,2,Furnished,Yes,Yes,Poor,6,520000,
SURV-00590,Primary survey,Landlord,Gikondo,House,2,2,Furnished,Yes,Yes,Good,3,560000,
SURV-04801,Primary survey,Tenant,Gikondo,House,3,3,Unfurnished,Yes,Yes,Good,7,570000,
SURV-01411,Primary survey,Real Estate Agent,Gikondo,House,2,2,Semi-Furnished,Yes,Yes,Average,6,600000,
SURV-04201,Primary survey,Tenant,Gikondo,House,2,2,Unfurnished,Yes,Yes,Average,5,600000,
SURV-02548,Primary survey,Tenant,Gikondo,House,3,3,Semi-Furnished,Yes,Yes,Good,4,610000,
SURV-00568,Primary survey,Tenant,Gikondo,House,2,2,Furnished,No,Yes,Average,5,620000,
SURV-00999,Primary survey,Real Estate Agent,Gikondo,House,2,2,Unknown,Yes,Yes,Poor,3,620000,
SURV-04317,Primary survey,Tenant,Gikondo,House,2,2,Unfurnished,No,Yes,Average,5,640000,
SURV-01168,Primary survey,Landlord,Gikondo,House,3,3,Semi-Furnished,Yes,No,Good,3,670000,
SURV-01199,Primary survey,Tenant,Gikondo,House,3,1,Unfurnished,Unknown,Yes,Average,3,670000,
SURV-01766,Primary survey,Tenant,Gikondo,House,3,1,Furnished,Yes,Yes,Average,4,670000,
SURV-03012,Primary survey,Real Estate Agent,Gikondo,House,3,3,Furnished,Yes,Yes,Average,6,670000,
SURV-01005,Primary survey,Landlord,Gikondo,House,3,2,Furnished,Yes,Yes,Good,3,690000,
SURV-03887,Primary survey,Real Estate Agent,Gikondo,House,3,3,Unfurnished,Yes,Yes,Poor,6,690000,
SURV-04886,Primary survey,Tenant,Gikondo,House,3,1,Furnished,Yes,Yes,Good,7,690000,
SURV-00126,Primary survey,Landlord,Gikondo,House,4,1,Furnished,Yes,No,Average,5,700000,
SURV-04802,Primary survey,Tenant,Gikondo,House,3,3,Unknown,Yes,Yes,Average,6,710000,
SURV-02865,Primary survey,Tenant,Gikondo,House,3,1,Semi-Furnished,Yes,Yes,Good,5,730000,
SURV-03397,Primary survey,Tenant,Gikondo,House,3,1,Semi-Furnished,Yes,No,Average,6,730000,
SURV-03941,Primary survey,Real Estate Agent,Gikondo,House,3,2,Semi-Furnished,Yes,Yes,Average,5,730000,
SURV-04786,Primary survey,Other,Gikondo,House,2,2,Unfurnished,No,Yes,Average,3,740000,
SURV-02824,Primary survey,Tenant,Gikondo,House,3,3,Semi-Furnished,Yes,Unknown,Good,6,750000,
SURV-04555,Primary survey,Real Estate Agent,Gikondo,House,3,1,Furnished,No,Yes,Poor,7,750000,
SURV-04562,Primary survey,Landlord,Gikondo,House,3,3,Unfurnished,No,No,Average,6,750000,
SURV-01606,Primary survey,Landlord,Gikondo,House,2,2,Semi-Furnished,Unknown,Yes,Average,6,760000,
SURV-03367,Primary survey,Tenant,Gikondo,House,2,2,Semi-Furnished,Yes,Yes,Average,5,760000,
SURV-04245,Primary survey,Tenant,Gikondo,House,2,1,Semi-Furnished,Yes,Yes,Good,5,760000,
SURV-04895,Primary survey,Tenant,Gikondo,House,2,2,Unfurnished,Yes,Unknown,Good,7,760000,
SURV-01904,Primary survey,Tenant,Gikondo,House,3,3,Unfurnished,Yes,Yes,Average,5,770000,
SURV-02517,Primary survey,Landlord,Gikondo,House,4,1,Semi-Furnished,Yes,Yes,Good,4,800000,
SURV-03306,Primary survey,Tenant,Gikondo,House,3,1,Unfurnished,No,No,Average,4,810000,
SURV-03376,Primary survey,Real Estate Agent,Gikondo,House,3,1,Furnished,Yes,Yes,Good,7,810000,
SURV-01074,Primary survey,Tenant,Gikondo,House,3,3,Unfurnished,Yes,Yes,Good,6,850000,
SURV-01462,Primary survey,Tenant,Gikondo,House,3,2,Semi-Furnished,Yes,Yes,Good,7,850000,
SURV-01623,Primary survey,Tenant,Gikondo,House,3,1,Furnished,Yes,Yes,Poor,3,890000,
SURV-01563,Primary survey,Tenant,Gikondo,House,4,2,Unknown,Yes,Yes,Average,5,900000,
SURV-01829,Primary survey,Real Estate Agent,Gikondo,House,4,4,Semi-Furnished,Yes,Yes,Good,3,920000,
SURV-02240,Primary survey,Tenant,Gikondo,House,4,3,Unfurnished,Yes,Yes,Poor,5,920000,
SURV-03431,Primary survey,Tenant,Gikondo,House,4,3,Semi-Furnished,Yes,Yes,Average,6,920000,
SURV-04565,Primary survey,Landlord,Gikondo,House,4,1,Furnished,Yes,No,Average,7,920000,
SURV-04434,Primary survey,Tenant,Gikondo,House,3,2,Semi-Furnished,Yes,Yes,Average,5,930000,
SURV-02492,Primary survey,Landlord,Gikondo,House,4,2,Furnished,Yes,Yes,Average,3,940000,
SURV-04023,Primary survey,Tenant,Gikondo,House,4,2,Furnished,No,Yes,Average,3,940000,
SURV-05070,Primary survey,Tenant,Gikondo,House,4,3,Semi-Furnished,Yes,Yes,Good,4,940000,
SURV-00598,Primary survey,Landlord,Gikondo,House,3,2,Furnished,Yes,Yes,Good,7,950000,
SURV-05139,Primary survey,Tenant,Gikondo,House,3,3,Unfurnished,Yes,Yes,Good,5,950000,
SURV-02426,Primary survey,Landlord,Gikondo,House,4,3,Unfurnished,Yes,Yes,Good,5,960000,
SURV-03542,Primary survey,Tenant,Gikondo,House,3,3,Unfurnished,Yes,Yes,Average,4,970000,
SURV-03461,Primary survey,Real Estate Agent,Gikondo,House,4,3,Unfurnished,Yes,Yes,Average,5,980000,
SURV-04101,Primary survey,Tenant,Gikondo,House,3,2,Unfurnished,No,Yes,Average,7,990000,
SURV-02602,Primary survey,Tenant,Gikondo,House,4,3,Furnished,Yes,Yes,Average,3,1020000,
SURV-01550,Primary survey,Tenant,Gikondo,House,4,4,Furnished,Yes,Yes,Poor,5,1040000,
SURV-02720,Primary survey,Tenant,Gikondo,House,4,2,Semi-Furnished,Yes,Yes,Average,6,1040000,
SURV-04458,Primary survey,Real Estate Agent,Gikondo,House,4,1,Furnished,Yes,Yes,Good,7,1040000,
SURV-03289,Primary survey,Tenant,Gikondo,House,3,3,Unfurnished,Yes,Yes,Good,6,1050000,
